Name,Model,Role,PV,Type,Size,Move,Short,Medium,Long,Overheat,Armor,Structure,Specials,ImageURL,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Baboon (Howler) 4,4,Scout,17,BM,1,"14""j",0,0,0,0,2,2,"CASE,IF0*",https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,Unknown,Clan Fire Mandrill,"Clan Fire Mandrill, Clan Jade Falcon, Clan Snow Raven","Clan Fire Mandrill, Clan Jade Falcon, Clan Snow Raven","Clan Fire Mandrill, Clan Jade Falcon, Clan Snow Raven","Clan Fire Mandrill, Clan Jade Falcon, Clan Snow Raven, Clan Star Adder, Clan Steel Viper","Clan Burrock, Clan Fire Mandrill, Clan Jade Falcon, Clan Snow Raven, Clan Star Adder, Clan Steel Viper",Clan Jade Falcon,Clan Jade Falcon,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Baboon (Howler) 5,5,Striker,29,BM,1,"14""",3,3,0,2,2,2,ENE,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Clan Jade Falcon, Clan Steel Viper","Clan Jade Falcon, Clan Steel Viper",Clan Jade Falcon,Clan Jade Falcon,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Baboon (Howler) 6,6,Striker,23,BM,1,"14""",2,2,0,0,2,2,"CASEII,SRM2/2,TUR(2/2/-,SRM2/2)",https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Jade Falcon","Clan Hell's Horses, Clan Jade Falcon","Clan Hell's Horses, Clan Jade Falcon","Alyina Mercantile League, Clan Hell's Horses, Clan Jade Falcon, Mercenary"
Butcherbird (Ion Sparrow) A,A,Scout,21,BM,1,"16""/20""j",2,0,0,0,2,1,"CASE,JMPS1,OMNI,PRB,RCN",https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Butcherbird (Ion Sparrow) B,B,Scout,24,BM,1,"16""/20""j",2,2,0,0,2,1,"CASE,JMPS1,OMNI,SRM1/1",https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Butcherbird (Ion Sparrow) C,C,Scout,35,BM,1,"16""/20""j",4,4,0,0,2,1,"ENE,JMPS1,OMNI",https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Butcherbird (Ion Sparrow) D,D,Scout,30,BM,1,"16""/20""j",3,3,0,0,2,1,"ENE,JMPS1,OMNI",https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Butcherbird (Ion Sparrow) Prime,Prime,Scout,30,BM,1,"16""/20""j",3,3,0,0,2,1,"CASE,JMPS1,OMNI",https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Jade Falcon,"Alyina Mercantile League, Clan Jade Falcon, Mercenary"
Cossack C-1FC,C-1FC,Scout,14,BM,1,"12""j",2,1,0,0,2,1,ENE,https://i.ibb.co/jhmq1pX/cossack-3060.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mercenary,Mercenary,Mercenary,Mercenary,Mercenary
Cossack C-SK1,C-SK1,Striker,17,BM,1,"12""j",2,2,0,0,2,1,,https://i.ibb.co/jhmq1pX/cossack-3060.png,Unknown,Unknown,Unknown,Unknown,"Mercenary, St. Ives Compact","Capellan Confederation, ComStar, Kell Hounds, Mercenary, St. Ives Compact, Wolf's Dragoons","Capellan Confederation, ComStar, Kell Hounds, Mercenary, Wolf's Dragoons","Capellan Confederation, Fronc Reaches, Mercenary","Capellan Confederation, Fronc Reaches, Mercenary","Capellan Confederation, Fronc Reaches, Mercenary","Capellan Confederation, Fronc Reaches, Mercenary"
Dasher (Fire Moth) (Aletha),(Aletha),Striker,31,BM,1,"26""",3,3,1,0,1,1,"ECM,ENE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Ghost Bear, Unique","Rasalhague Dominion, Unique","Rasalhague Dominion, Unique",Extinct,Extinct
Dasher (Fire Moth) A,A,Scout,20,BM,1,"26""",1,1,0,0,1,1,"AMS,CASE,OMNI,PRB,RCN,TAG",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,"Clan Cloud Cobra, Clan Ghost Bear","Clan Cloud Cobra, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses","Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses, Clan Ice Hellion, Clan Jade Falcon, Clan Nova Cat, Clan Star Adder, Clan Steel Viper","HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) B,B,Striker,24,BM,1,"26""",2,2,0,0,1,1,"CASE,ECM,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,"Clan Cloud Cobra, Clan Ghost Bear","Clan Cloud Cobra, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses","Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses, Clan Ice Hellion, Clan Jade Falcon, Clan Nova Cat, Clan Star Adder, Clan Steel Viper","HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) C,C,Missile Boat,19,BM,1,"26""",1,1,1,0,1,1,"AMS,CASE,IF1,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,"Clan Cloud Cobra, Clan Ghost Bear","Clan Cloud Cobra, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses","Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses, Clan Ice Hellion, Clan Jade Falcon, Clan Nova Cat, Clan Star Adder, Clan Steel Viper","HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) D,D,Striker,30,BM,1,"26""",4,3,0,1,1,1,"ENE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,"Clan Cloud Cobra, Clan Ghost Bear","Clan Cloud Cobra, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses","Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses, Clan Ice Hellion, Clan Jade Falcon, Clan Nova Cat, Clan Star Adder, Clan Steel Viper","HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) E,E,Scout,18,BM,1,"26""",2,1,1,0,1,1,"CASE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,"HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) F,F,Striker,31,BM,1,"26""",3,3,0,0,1,1,"CASE,OMNI,PRB,RCN",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) G,G,Striker,35,BM,1,"30""",4,4,0,1,1,1,"CASE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) H,H,Striker,25,BM,1,"26""",5,0,0,1,1,1,"ENE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,"Clan Blood Spirit, Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Goliath Scorpion, Clan Ice Hellion, Clan Snow Raven, Clan Star Adder, Clan Steel Viper, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) I,I,Sniper,24,BM,1,"26""",2,2,2,0,1,1,"CASE,IF0*,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) J,J,Striker,23,BM,1,"26""",2,2,0,0,1,1,"ENE,HT1/1/1,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) K,K,Striker,28,BM,1,"26""",3,3,0,0,1,1,"CASE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) M,M,Striker,30,BM,1,"26""",3,3,1,0,1,1,"CASE,IF1,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) P,P,Striker,22,BM,1,"30""",4,0,0,0,1,1,"ENE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) Prime,Prime,Striker,28,BM,1,"26""",3,3,0,0,1,1,"CASE,OMNI,SRM1/1",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,"Clan Cloud Cobra, Clan Ghost Bear","Clan Cloud Cobra, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses","Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Ghost Bear, Clan Goliath Scorpion, Clan Hell's Horses, Clan Ice Hellion, Clan Jade Falcon, Clan Nova Cat, Clan Star Adder, Clan Steel Viper","HW Clan General, IS Clan General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Society, Wolf's Dragoons","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) R,R,Scout,32,BM,1,"26""",3,3,0,0,1,1,"C3S,CASE,ECM,MHQ1,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Raven Alliance","IS Clan General, Mercenary","IS Clan General, Mercenary"
Dasher (Fire Moth) T,T,Striker,28,BM,1,"30""",3,3,0,0,1,1,"CASE,OMNI",https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"IS Clan General, Mercenary","IS Clan General, Mercenary"
Fireball ALM-10D,ALM-10D,Striker,26,BM,1,"28""",2,2,0,0,2,1,ENE,https://i.ibb.co/p0KNM8N/fireball-3055u.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Federated Suns, Lyran Alliance, Mercenary","Federated Suns, Lyran Commonwealth, Mercenary, Republic of the Sphere","Federated Suns, Lyran Commonwealth, Mercenary, Republic of the Sphere","Federated Suns, Lyran Commonwealth, Mercenary, Republic of the Sphere","Federated Suns, Lyran Commonwealth, Mercenary"
Fireball ALM-7D,ALM-7D,Scout,17,BM,1,"22""",1,0,0,0,2,1,,https://i.ibb.co/p0KNM8N/fireball-3055u.png,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns, Lyran Alliance, Lyran Commonwealth, Mercenary, St. Ives Compact","Federated Commonwealth, Federated Suns, Lyran Alliance, Mercenary, St. Ives Compact","Federated Suns, Filtvelt Coalition, Lyran Alliance, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary","Filtvelt Coalition, Mercenary"
Fireball ALM-8D,ALM-8D,Scout,20,BM,1,"22""",2,1,0,0,2,1,,https://i.ibb.co/p0KNM8N/fireball-3055u.png,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns, Lyran Alliance, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Lyran Alliance","Federated Suns, Lyran Alliance","Federated Suns, Mercenary","Federated Suns, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary"
Fireball ALM-9D,ALM-9D,Scout,19,BM,1,"22""",1,1,0,0,2,1,,https://i.ibb.co/p0KNM8N/fireball-3055u.png,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns, Lyran Alliance, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Lyran Alliance","Federated Suns, Lyran Alliance","Federated Suns, Mercenary","Federated Suns, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary","Federated Suns, Filtvelt Coalition, Mercenary"
Fireball ALM-XF,ALM-XF,Scout,25,BM,1,"48""",1,1,0,0,2,1,ENE,https://i.ibb.co/hMJTvDz/fireball-xtr.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unique,Unique,Extinct,Extinct,Extinct
"Flea ""Fire Ant""","""Fire Ant""",Scout,15,BM,1,"16""",2,0,0,0,1,2,HT1/-/-,https://i.ibb.co/1QgVGj3/flea-rg.png,Unknown,Unknown,Unknown,Unknown,Unknown,Capellan Confederation,Extinct,Extinct,Extinct,Extinct,Extinct
Flea FLE-15,FLE-15,Scout,14,BM,1,"12""",2,1,0,0,2,2,REAR1/-/-,https://i.ibb.co/1QgVGj3/flea-rg.png,"Free Worlds League, Magistracy of Canopus, Outworlds Alliance","Free Worlds League, Magistracy of Canopus, Outworlds Alliance","Free Worlds League, Wolf's Dragoons","Free Worlds League, Wolf's Dragoons","Free Worlds League, Wolf's Dragoons","Free Worlds League, Wolf's Dragoons","Free Worlds League, Wolf's Dragoons",Extinct,Extinct,Extinct,Extinct
Flea FLE-16,FLE-16,Scout,19,BM,1,"18""",2,1,0,0,2,2,ENE,https://i.ibb.co/1QgVGj3/flea-rg.png,Unknown,Unknown,Unknown,Wolf's Dragoons,Wolf's Dragoons,Wolf's Dragoons,Wolf's Dragoons,Extinct,Extinct,Extinct,Extinct
Flea FLE-17,FLE-17,Striker,23,BM,1,"16""",2,2,0,0,2,2,"ENE,REAR1/-/-",https://i.ibb.co/1QgVGj3/flea-rg.png,Unknown,Unknown,Unknown,Unknown,"Capellan Confederation, Free Worlds League, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Capellan Confederation, Free Worlds League, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons, Word of Blake","Capellan Confederation, Free Worlds League, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons, Word of Blake","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary, Periphery General, Republic of the Sphere","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary, Periphery General, Republic of the Sphere","Capellan Confederation, Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary, Periphery General, Republic of the Sphere","Capellan Confederation, Free Worlds League, Free Worlds League (Duchy of Andurien), Mercenary, Periphery General"
